Name,RD,CS
deadly,-2,398
Brahmabull27,2,358
far00q,2,310
flixflix,-2,270
DronZ,-2,217
Maze,2,150
SappaFigure,-2,134
Hathan Baa,-2,132
TheCheesiestBoi,2,127
bilalthebrown,2,86
