Name,RD,CS
deadly,-6,386
HalfEvilPrince,6,308
Maze,6,288
Brahmabull27,6,277
SappaFigure,6,270
DronZ,-6,268
TheCheesiestBoi,-6,141
flixflix,-6,132
REMU,-6,129
Pinakalota,6,116
