Name,RD,CS
flixflix,-5,310
ShockD,5,301
deadly,5,280
SappaFigure,-5,278
Pinakalota,5,236
REMU,5,219
Maze,-5,195
TheCheesiestBoi,5,152
bilalthebrown,-5,146
ArrowKeys,-5,47
