Name,RD,CS
deadly,7,383
far00q,-7,270
Maze,7,270
flixflix,7,239
Pinakalota,7,207
SappaFigure,-7,174
DronZ,-7,158
bilalthebrown,-7,130
TheCheesiestBoi,7,107
Hathan Baa,-7,97
