Name,RD,CS
flixflix,-5,252
DronZ,-5,77
FeelDaZombie,-5,71
TheCheesiestBoi,-5,64
MujMo,-5,38
deadly,5,175
SappaFigure,5,124
Maze,5,119
Pinakalota,5,103
ETERNAL S0UL,5,61
