Name,RD,CS
deadly,5,348
far00q,-5,299
ShockD,5,294
flixflix,5,284
Brahmabull27,-5,230
Pinakalota,-5,188
Maze,-5,159
REMU,5,129
bilalthebrown,5,123
FeelDaZombie,-5,117
