Name,RD,CS
deadly,-2,489
Brahmabull27,2,306
DronZ,2,260
SappaFigure,2,234
flixflix,-2,200
Maze,2,178
bilalthebrown,2,166
TheCheesiestBoi,-2,130
Icee272,-2,118
Pinakalota,-2,106
