Name,RD,CS
deadly,2,432
Maze,-2,292
DronZ,2,242
SappaFigure,-2,233
Owais23,2,217
flixflix,-2,216
ArrowKeys,-2,184
Pinakalota,2,170
Icee272,-2,118
FeelDaZombie,2,114
