Name,RD,CS
SappaFigure,-8,291
Brahmabull27,-8,258
bilalthebrown,-8,219
Maze,-8,157
TheCheesiestBoi,-8,41
deadly,8,420
flixflix,8,322
DronZ,8,181
FeelDaZombie,8,177
Pinakalota,8,145
