Name,RD,CS
deadly,2,473
Brahmabull27,2,265
REMU,2,216
TheCheesiestBoi,2,109
Icee272,2,80
SappaFigure,-2,298
ShockD,-2,276
DronZ,-2,246
bilalthebrown,-2,149
ETERNAL S0UL,-2,145
