Name,RD,CS
deadly,8,338
flixflix,8,337
DronZ,8,236
FeelDaZombie,8,181
TheCheesiestBoi,8,116
Waeag,-8,315
Brahmabull27,-8,251
Pinakalota,-8,118
ArrowKeys,-8,101
bilalthebrown,-8,93
