Name,RD,CS
SappaFigure,-10,343
deadly,-10,196
FeelDaZombie,-10,113
TheCheesiestBoi,-10,106
Icee272,-10,74
DronZ,10,323
Brahmabull27,10,300
Flixflix,10,25
Maze,10,184
Pinakalota,10,117
