Name,RD,CS
Maze,-2,338
ShockD,2,300
flixflix,2,251
far00q,-2,241
DronZ,2,225
REMU,-2,224
bilalthebrown,-2,187
ArrowKeys,2,184
TOXIC,2,145
TheCheesiestBoi,-2,77
