Name,RD,CS
SappaFigure,-2,285
deadly,-2,247
FeelDaZombie,-2,104
TheCheesiestBoi,2,131
flixflix,2,357
Pinakalota,-2,173
G4mb1T,-2,206
REMU,2,169
ArrowKeys,2,40
ShockD,2,410
