Name,RD,CS
deadly,2,338
ShockD,-2,249
flixflix,-2,406
REMU,-2,185
Pinakalota,2,167
FeelDaZombie,-2,43
far00q,2,265
Maze,2,188
TOXIC,-2,142
bilalthebrown,2,103
