Name,RD,CS
Brahmabull27,2,349
flixflix,-2,310
Maze,-2,298
deadly,2,281
TheCheesiestBoi,-2,232
DronZ,2,192
Icee272,2,181
Pinakalota,2,154
bilalthebrown,-2,148
FeelDaZombie,-2,103
