Name,RD,CS
Maze,-3,282
ShockD,-3,244
REMU,-3,163
Pinakalota,-3,137
TheCheesiestBoi,-3,103
far00q,3,512
SappaFigure,3,295
flixflix,3,227
TOXIC,3,86
MUSADDIQ,3,21
